PR,41036,Lapa,18.08496985,-66.19804042705803
PR,41037,Curitiba,-25.4295963,-49.2712724
PR,41038,Paranaguá,-25.5148822,-48.5226695
PR,41039,Rio Negro,-26.1218005,-49.7501243
SC,42001,São Miguel do Oeste,-26.7278977,-53.5176689
SC,42002,Chapecó,-27.0922364,-52.6166878
SC,42003,Xanxerê,-26.8748603,-52.4035964
SC,42004,Joaçaba,-27.1737204,-51.5065214
SC,42005,Concórdia,-27.2312011,-52.0231024
SC,42006,Canoinhas,-26.1755121,-50.3949592
SC,42007,São Bento do Sul,-26.2483669,-49.3820672
SC,42008,Joinville,-26.3044898,-48.8486726
SC,42009,Curitibanos,-27.2900659,-50.5779683
SC,42010,Campos de Lages,-27.3919306,-51.2114751
SC,42011,Rio do Sul,-27.2162607,-49.643654
SC,42012,Blumenau,-26.9195567,-49.0658025
SC,42013,Itajaí,-26.9046787,-48.6552979
SC,42014,Ituporanga,-27.4096219,-49.6014812
SC,42015,Tijucas,-27.239404,-48.6353696
SC,42016,Florianópolis,-27.5973002,-48.5496098
SC,42017,Tabuleiro,-27.0080149,-48.6520969
SC,42018,Tubarão,-28.471488,-49.014132
SC,42019,Criciúma,-28.6789941,-49.3695627
SC,42020,Araranguá,-28.9348832,-49.4858389
RS,43001,Santa Rosa,-27.8643546,-54.4779287
RS,43002,Três Passos,-27.4556106,-53.9294399
RS,43003,Frederico Westphalen,-27.35711,-53.3964117
RS,43005,Sananduva,-27.9499376,-51.8074435
RS,43006,Cerro Largo,-28.147498,-54.7383681
RS,43007,Santo Ângelo,-28.3000481,-54.2669971
RS,43008,Ijuí,-28.3878734,-53.9201692
RS,43009,Carazinho,-28.2981634,-52.7942363
RS,43010,Passo Fundo,-28.2550598,-52.3966606
RS,43011,Cruz Alta,-28.645056,-53.6058047
RS,43012,Não-Me-Toque,-28.4575507,-52.8196547
RS,43013,Soledade,-28.8272467,-52.5109157
RS,43014,Guaporé,-29.161619,-51.8819306
RS,43015,Vacaria,-28.5102901,-50.9356044
RS,43017,Santiago,8.099855,-80.98002
RS,43018,Santa Maria,-29.6860512,-53.8069214
RS,43019,Restinga Seca,-29.8145611,-53.3734546
RS,43020,Santa Cruz do Sul,-29.7141869,-52.4285914
RS,43022,Cachoeira do Sul,-30.0482234,-52.8901686
RS,43025,São Jerônimo,-30.392009,-53.053977
RS,43026,Porto Alegre,-30.0324999,-51.2303767
RS,43027,Osório,-29.8890733,-50.2740498
RS,43028,Camaquã,-30.8524752,-51.8075619
RS,43033,Pelotas,-31.7699736,-52.3410161
RS,43034,Jaguarão,-32.5662724,-53.3765705
MS,50004,Campo Grande,-20.4640173,-54.6162947
MS,50007,Três Lagoas,-20.7866799,-51.7061247
MS,50008,Nova Andradina,-22.2477565,-53.3480621
MS,50010,Dourados,-22.6210038,-53.1049713
MT,51002,Alta Floresta,-9.8698547,-56.0834993
MT,51013,Tangará da Serra,-14.6213903,-57.4907268
MT,51014,Jauru,-15.3407762,-58.8683137
MT,51015,Alto Paraguai,-14.513712,-56.4936374
MT,51016,Rosário Oeste,-14.825938,-56.42357
MT,51017,Cuiabá,-15.5986686,-56.0991301
MT,51019,Primavera do Leste,-15.5614127,-54.2993946
MT,51020,Tesouro,-16.0802073,-53.553114
MT,51021,Rondonópolis,-16.4603533,-54.6397099
MT,51022,Alto Araguaia,-17.3156528,-53.2169365
GO,52001,São Miguel do Araguaia,-13.2816,-50.1717
GO,52002,Rio Vermelho,-14.8078281,-49.4487333
GO,52003,Aragarças,-15.8957166,-52.2514538
GO,52004,Porangatu,-13.444663,-49.1423569
GO,52005,Chapada dos Veadeiros,-13.906784,-47.41612119225708
GO,52006,Ceres,-15.3103568,-49.6032054
GO,52007,Anápolis,-16.3332828,-48.9525756
GO,52008,Iporá,-16.4407981,-51.1181188
GO,52009,Anicuns,-16.4606451,-49.9572265
GO,52010,Goiânia,-16.680882,-49.2532691
GO,52012,Entorno de Brasília,-16.0589766,-48.036821
GO,52015,Meia Ponte,-15.9797105,-49.0831036
GO,52016,Pires do Rio,-17.3006277,-48.2793037
GO,52017,Catalão,-18.1702546,-47.9447082
GO,52018,Quirinópolis,-18.4471859,-50.4546981
DF,53001,Brasília,-15.71836875,-47.99502730353181
